[0.25 0 0.25 0.5]	0.3	0	0.81538	0.5125	0.5	0.85
[0.25 0 0.25 0.5]	0.6	0	0.81538	0.5375	0.8208	0.6333
[0.25 0 0.25 0.5]	1.2	0	0.81538	0.55	0.7708	0.6417
[0.25 0 0.25 0.75]	0.3	0	0.83077	0.325	0.575	0.675
[0.25 0 0.25 0.75]	0.6	0	0.83077	0.2792	0.5042	0.4042
[0.25 0 0.25 0.75]	1.2	0	0.83077	0.1167	0.1625	0.1583
[0 0 0 0.5]	0.3	0	1	0.1708	0.7792	0.9125
[0 0 0 0.5]	0.6	0	1	0.1667	0.425	0.6042
[0 0 0 0.5]	1.2	0	1	0.1833	0.425	0.3833
[0.25 0 0.75 0.5]	0.6	0.02083	0.81538	0.6375	0.3958	0.7458
[0.25 0 0.75 1]	0.6	1.0833	0.81538	0.1708	0.8203	0.6083
[0.25 0.5 0.25 0.5]	0.6	0.08333	0.81538	0.3125	0.1917	0.8458
[0.25 0.5 0.75 0.5]	0.6	1.25	0.81538	0.5	0.5167	0.9417
[0.25 0.5 0.75 1]	0.6	1.25	0.81538	0.2167	0.8208	0.7625
[0.75 0 0.25 0.5]	0.6	0.08333	0.81538	0.1917	0.3792	0.6708
[0.75 0 0.25 1]	0.6	1	0.81538	0.2417	0.6333	0.5625
[0.25 0.5 0.25 1]	0.6	0.08333	0.81538	0.2417	0.8	0.5708
[0.25 0 0.75 0.75]	0.6	0.02083	0.83077	0.217	0.47	0.56
[0.25 0 0.75 1.25]	0.6	1.0833	0.83077	0.133	0.875	0.533
[0.25 0.5 0.25 0.75]	0.6	0.08333	0.83077	0.1917	0.7042	0.4875
[0.25 0.5 0.25 1.25]	0.6	0.08333	0.83077	0.217	0.7375	0.5083
[0.25 0.5 0.75 0.75]	0.6	1.25	0.83077	0.167	0.717	0.5125
[0.25 0.5 0.75 1.25]	0.6	1.25	0.83077	0.1708	0.633	0.583
[0.75 0 0.25 0.75]	0.6	0.08333	0.83077	0.1708	0.73	0.5292
[0.75 0 0.25 1.25]	0.6	1	0.83077	0.1167	0.5125	0.3208
[0 0 0.5 0.5]	0.6	0.02083	1	0.1583	0.4458	0.7167
[0 0 0.5 1]	0.6	1.0833	1	0.0792	0.5458	0.4208
[0 0.5 0 0.5]	0.6	0.08333	1	0.133	0.5625	0.5625
[0 0.5 0 1]	0.6	0.08333	1	0.1417	0.4208	0.6042
[0 0.5 0.5 0.5]	0.6	1.25	1	0.15	0.683	0.6125
[0 0.5 0.5 1]	0.6	1.25	1	0.0583	0.3917	0.4208
[0.5 0 0 0.5]	0.6	0.08333	1	0.1417	0.625	0.6125
[0.5 0 0 1]	0.6	1	1	0.1042	0.6292	0.4417
[0.75 0.5 0.25 0.5]	0.6	0.833	0.81538	0.5125	0.7292	0.9292
[0.75 0.5 0.25 0.75]	0.6	0.833	0.83077	0.35	0.4792	0.7417
[0.5 0.5 0 0.5]	0.6	0.833	1	0.667	0	0.9958
[0.75 0.5 0.25 1]	0.6	0.833	0.81538	0.1917	0.8917	0.8208
[0.75 0.5 0.25 1.25]	0.6	0.833	0.83077	0.2042	0.5667	0.7125
[0.5 0.5 0 1]	0.6	0.833	1	0.0958	0.6125	0.7292
[0.75 0.5 0.75 0.5]	0.6	0.833	0.81538	0.4958	0.4125	0.7375
[0.75 0.5 0.75 0.75]	0.6	0.833	0.83077	0.3	0.4458	0.825
[0.5 0.5 0.5 0.5]	0.6	0.833	1	0.1917	0.7083	0.825
